filepath,ACCESS,FOLDER,DOCUMENT NAME,cFilePath
C:\Users\bvandemerwe.NV\Documents\My Dropbox\NetDocuments\arrow_click.png,U:nd.automated-drone_0|VESA,DRONEFOLDER_0,doc_0_0_1330709380,C:\Users\bvandemerwe.NV\Documents\My Dropbox\NetDocuments\arrow_click.png
C:\Users\bvandemerwe.NV\Documents\My Dropbox\NetDocuments\recent_list.png,U:nd.automated-drone_0|VESA,DRONEFOLDER_0,doc_0_1_1330709380,C:\Users\bvandemerwe.NV\Documents\My Dropbox\NetDocuments\recent_list.png
C:\Users\bvandemerwe.NV\Documents\My Dropbox\NetDocuments\barShadow.png,U:nd.automated-drone_0|VESA,DRONEFOLDER_0,doc_0_2_1330709380,C:\Users\bvandemerwe.NV\Documents\My Dropbox\NetDocuments\barShadow.png
C:\Users\bvandemerwe.NV\Documents\My Dropbox\NetDocuments\Automated\Tests\logs\1330086419_Upload to Cabinet.pdf,U:nd.automated-drone_0|VESA,DRONEFOLDER_0,doc_0_3_1330709380,C:\Users\bvandemerwe.NV\Documents\My Dropbox\NetDocuments\Automated\Tests\logs\1330086419_Upload to Cabinet.pdf
C:\Users\bvandemerwe.NV\Documents\My Dropbox\NetDocuments\navPaneVertNavigation.png,U:nd.automated-drone_0|VESA,DRONEFOLDER_0,doc_0_4_1330709380,C:\Users\bvandemerwe.NV\Documents\My Dropbox\NetDocuments\navPaneVertNavigation.png
C:\Users\bvandemerwe.NV\Documents\My Dropbox\NetDocuments\arrow_hover.png,U:nd.automated-drone_0|VESA,DRONEFOLDER_0,doc_0_5_1330709380,C:\Users\bvandemerwe.NV\Documents\My Dropbox\NetDocuments\arrow_hover.png
C:\Users\bvandemerwe.NV\Documents\My Dropbox\NetDocuments\homepageSorting.png,U:nd.automated-drone_0|VESA,DRONEFOLDER_0,doc_0_6_1330709380,C:\Users\bvandemerwe.NV\Documents\My Dropbox\NetDocuments\homepageSorting.png
C:\Users\bvandemerwe.NV\Documents\My Dropbox\NetDocuments\folderIcon_mockup-sizes_yel.png,U:nd.automated-drone_0|VESA,DRONEFOLDER_0,doc_0_7_1330709380,C:\Users\bvandemerwe.NV\Documents\My Dropbox\NetDocuments\folderIcon_mockup-sizes_yel.png
C:\Users\bvandemerwe.NV\Documents\My Dropbox\NetDocuments\temp.png,U:nd.automated-drone_0|VESA,DRONEFOLDER_0,doc_0_8_1330709380,C:\Users\bvandemerwe.NV\Documents\My Dropbox\NetDocuments\temp.png
C:\Users\bvandemerwe.NV\Documents\My Dropbox\NetDocuments\icon_listview_hover.png,U:nd.automated-drone_0|VESA,DRONEFOLDER_0,doc_0_9_1330709380,C:\Users\bvandemerwe.NV\Documents\My Dropbox\NetDocuments\icon_listview_hover.png
C:\Users\bvandemerwe.NV\Documents\My Dropbox\NetDocuments\ssMan_dark.png,U:nd.automated-drone_1|VESA,DRONEFOLDER_1,doc_1_0_1330709380,C:\Users\bvandemerwe.NV\Documents\My Dropbox\NetDocuments\ssMan_dark.png
C:\Users\bvandemerwe.NV\Documents\My Dropbox\NetDocuments\Automated\Tests\logs\1330094964_Upload to Cabinet.pdf,U:nd.automated-drone_1|VESA,DRONEFOLDER_1,doc_1_1_1330709380,C:\Users\bvandemerwe.NV\Documents\My Dropbox\NetDocuments\Automated\Tests\logs\1330094964_Upload to Cabinet.pdf
C:\Users\bvandemerwe.NV\Documents\My Dropbox\NetDocuments\glossTheBar.png,U:nd.automated-drone_1|VESA,DRONEFOLDER_1,doc_1_2_1330709380,C:\Users\bvandemerwe.NV\Documents\My Dropbox\NetDocuments\glossTheBar.png
C:\Users\bvandemerwe.NV\Documents\My Dropbox\NetDocuments\iPad_FirstScreen.png,U:nd.automated-drone_1|VESA,DRONEFOLDER_1,doc_1_3_1330709380,C:\Users\bvandemerwe.NV\Documents\My Dropbox\NetDocuments\iPad_FirstScreen.png
C:\Users\bvandemerwe.NV\Documents\My Dropbox\NetDocuments\detailsPane_arrow.png,U:nd.automated-drone_1|VESA,DRONEFOLDER_1,doc_1_4_1330709380,C:\Users\bvandemerwe.NV\Documents\My Dropbox\NetDocuments\detailsPane_arrow.png
C:\Users\bvandemerwe.NV\Documents\My Dropbox\NetDocuments\nD_logo.png,U:nd.automated-drone_1|VESA,DRONEFOLDER_1,doc_1_5_1330709380,C:\Users\bvandemerwe.NV\Documents\My Dropbox\NetDocuments\nD_logo.png
C:\Users\bvandemerwe.NV\Documents\My Dropbox\NetDocuments\Automated\Tests\logs\1330093780_Upload to Cabinet.pdf,U:nd.automated-drone_1|VESA,DRONEFOLDER_1,doc_1_6_1330709380,C:\Users\bvandemerwe.NV\Documents\My Dropbox\NetDocuments\Automated\Tests\logs\1330093780_Upload to Cabinet.pdf
C:\Users\bvandemerwe.NV\Documents\My Dropbox\NetDocuments\checkedOut-small.png,U:nd.automated-drone_1|VESA,DRONEFOLDER_1,doc_1_7_1330709380,C:\Users\bvandemerwe.NV\Documents\My Dropbox\NetDocuments\checkedOut-small.png
C:\Users\bvandemerwe.NV\Documents\My Dropbox\NetDocuments\Automated\Tests\logs\1330095731_Upload to Cabinet.log,U:nd.automated-drone_1|VESA,DRONEFOLDER_1,doc_1_8_1330709380,C:\Users\bvandemerwe.NV\Documents\My Dropbox\NetDocuments\Automated\Tests\logs\1330095731_Upload to Cabinet.log
C:\Users\bvandemerwe.NV\Documents\My Dropbox\NetDocuments\Automated\Tests\logs\1330539815_Upload to Cabinet.pdf,U:nd.automated-drone_1|VESA,DRONEFOLDER_1,doc_1_9_1330709380,C:\Users\bvandemerwe.NV\Documents\My Dropbox\NetDocuments\Automated\Tests\logs\1330539815_Upload to Cabinet.pdf
C:\Users\bvandemerwe.NV\Documents\My Dropbox\NetDocuments\dragdrop.png,U:nd.automated-drone_2|VESA,DRONEFOLDER_2,doc_2_0_1330709380,C:\Users\bvandemerwe.NV\Documents\My Dropbox\NetDocuments\dragdrop.png
C:\Users\bvandemerwe.NV\Documents\My Dropbox\NetDocuments\folderIcon_mockup-sizes_yel.png,U:nd.automated-drone_2|VESA,DRONEFOLDER_2,doc_2_1_1330709380,C:\Users\bvandemerwe.NV\Documents\My Dropbox\NetDocuments\folderIcon_mockup-sizes_yel.png
C:\Users\bvandemerwe.NV\Documents\My Dropbox\NetDocuments\Automated\Tests\logs\1330546047_Upload to Cabinet.log,U:nd.automated-drone_2|VESA,DRONEFOLDER_2,doc_2_2_1330709380,C:\Users\bvandemerwe.NV\Documents\My Dropbox\NetDocuments\Automated\Tests\logs\1330546047_Upload to Cabinet.log
C:\Users\bvandemerwe.NV\Documents\My Dropbox\NetDocuments\Automated\Tests\logs\1330097877_Upload to Cabinet.pdf,U:nd.automated-drone_2|VESA,DRONEFOLDER_2,doc_2_3_1330709380,C:\Users\bvandemerwe.NV\Documents\My Dropbox\NetDocuments\Automated\Tests\logs\1330097877_Upload to Cabinet.pdf
C:\Users\bvandemerwe.NV\Documents\My Dropbox\NetDocuments\Automated\Tests\logs\1330094430_Upload to Cabinet.log,U:nd.automated-drone_2|VESA,DRONEFOLDER_2,doc_2_4_1330709380,C:\Users\bvandemerwe.NV\Documents\My Dropbox\NetDocuments\Automated\Tests\logs\1330094430_Upload to Cabinet.log
C:\Users\bvandemerwe.NV\Documents\My Dropbox\NetDocuments\folderIcon_mockup-sizes_yel.png,U:nd.automated-drone_2|VESA,DRONEFOLDER_2,doc_2_5_1330709380,C:\Users\bvandemerwe.NV\Documents\My Dropbox\NetDocuments\folderIcon_mockup-sizes_yel.png
C:\Users\bvandemerwe.NV\Documents\My Dropbox\NetDocuments\detailsPane_arrow-mockup.png,U:nd.automated-drone_2|VESA,DRONEFOLDER_2,doc_2_6_1330709380,C:\Users\bvandemerwe.NV\Documents\My Dropbox\NetDocuments\detailsPane_arrow-mockup.png
C:\Users\bvandemerwe.NV\Documents\My Dropbox\NetDocuments\Automated\Tests\logs\1330094964_Upload to Cabinet.log,U:nd.automated-drone_2|VESA,DRONEFOLDER_2,doc_2_7_1330709380,C:\Users\bvandemerwe.NV\Documents\My Dropbox\NetDocuments\Automated\Tests\logs\1330094964_Upload to Cabinet.log
C:\Users\bvandemerwe.NV\Documents\My Dropbox\NetDocuments\switchFolder_New.png,U:nd.automated-drone_2|VESA,DRONEFOLDER_2,doc_2_8_1330709380,C:\Users\bvandemerwe.NV\Documents\My Dropbox\NetDocuments\switchFolder_New.png
C:\Users\bvandemerwe.NV\Documents\My Dropbox\NetDocuments\checkedOut-small.png,U:nd.automated-drone_2|VESA,DRONEFOLDER_2,doc_2_9_1330709380,C:\Users\bvandemerwe.NV\Documents\My Dropbox\NetDocuments\checkedOut-small.png
C:\Users\bvandemerwe.NV\Documents\My Dropbox\NetDocuments\arrow_click.png,U:nd.automated-drone_3|VESA,DRONEFOLDER_3,doc_3_0_1330709380,C:\Users\bvandemerwe.NV\Documents\My Dropbox\NetDocuments\arrow_click.png
C:\Users\bvandemerwe.NV\Documents\My Dropbox\NetDocuments\folderIcon_mockup copy.png,U:nd.automated-drone_3|VESA,DRONEFOLDER_3,doc_3_1_1330709380,C:\Users\bvandemerwe.NV\Documents\My Dropbox\NetDocuments\folderIcon_mockup copy.png
C:\Users\bvandemerwe.NV\Documents\My Dropbox\NetDocuments\Automated\Tests\logs\1330086419_Upload to Cabinet.pdf,U:nd.automated-drone_3|VESA,DRONEFOLDER_3,doc_3_2_1330709380,C:\Users\bvandemerwe.NV\Documents\My Dropbox\NetDocuments\Automated\Tests\logs\1330086419_Upload to Cabinet.pdf
C:\Users\bvandemerwe.NV\Documents\My Dropbox\NetDocuments\blue_folder.png,U:nd.automated-drone_3|VESA,DRONEFOLDER_3,doc_3_3_1330709380,C:\Users\bvandemerwe.NV\Documents\My Dropbox\NetDocuments\blue_folder.png
C:\Users\bvandemerwe.NV\Documents\My Dropbox\NetDocuments\folderIcon_mockup copy.png,U:nd.automated-drone_3|VESA,DRONEFOLDER_3,doc_3_4_1330709380,C:\Users\bvandemerwe.NV\Documents\My Dropbox\NetDocuments\folderIcon_mockup copy.png
C:\Users\bvandemerwe.NV\Documents\My Dropbox\NetDocuments\Automated\Tests\logs\1330086861_Upload to Cabinet.pdf,U:nd.automated-drone_3|VESA,DRONEFOLDER_3,doc_3_5_1330709380,C:\Users\bvandemerwe.NV\Documents\My Dropbox\NetDocuments\Automated\Tests\logs\1330086861_Upload to Cabinet.pdf
C:\Users\bvandemerwe.NV\Documents\My Dropbox\NetDocuments\barGloss.png,U:nd.automated-drone_3|VESA,DRONEFOLDER_3,doc_3_6_1330709380,C:\Users\bvandemerwe.NV\Documents\My Dropbox\NetDocuments\barGloss.png
C:\Users\bvandemerwe.NV\Documents\My Dropbox\NetDocuments\netdocs_icon_mockup.png,U:nd.automated-drone_3|VESA,DRONEFOLDER_3,doc_3_7_1330709380,C:\Users\bvandemerwe.NV\Documents\My Dropbox\NetDocuments\netdocs_icon_mockup.png
C:\Users\bvandemerwe.NV\Documents\My Dropbox\NetDocuments\Automated\Tests\logs\1330546047_Upload to Cabinet.pdf,U:nd.automated-drone_3|VESA,DRONEFOLDER_3,doc_3_8_1330709380,C:\Users\bvandemerwe.NV\Documents\My Dropbox\NetDocuments\Automated\Tests\logs\1330546047_Upload to Cabinet.pdf
C:\Users\bvandemerwe.NV\Documents\My Dropbox\NetDocuments\Automated\Tests\logs\1330539815_Upload to Cabinet.log,U:nd.automated-drone_3|VESA,DRONEFOLDER_3,doc_3_9_1330709380,C:\Users\bvandemerwe.NV\Documents\My Dropbox\NetDocuments\Automated\Tests\logs\1330539815_Upload to Cabinet.log
C:\Users\bvandemerwe.NV\Documents\My Dropbox\NetDocuments\switchFolder_20x20.png,U:nd.automated-drone_4|VESA,DRONEFOLDER_4,doc_4_0_1330709380,C:\Users\bvandemerwe.NV\Documents\My Dropbox\NetDocuments\switchFolder_20x20.png
C:\Users\bvandemerwe.NV\Documents\My Dropbox\NetDocuments\icon_context_hover.png,U:nd.automated-drone_4|VESA,DRONEFOLDER_4,doc_4_1_1330709380,C:\Users\bvandemerwe.NV\Documents\My Dropbox\NetDocuments\icon_context_hover.png
C:\Users\bvandemerwe.NV\Documents\My Dropbox\NetDocuments\iPad_FirstScreen.png,U:nd.automated-drone_4|VESA,DRONEFOLDER_4,doc_4_2_1330709380,C:\Users\bvandemerwe.NV\Documents\My Dropbox\NetDocuments\iPad_FirstScreen.png
C:\Users\bvandemerwe.NV\Documents\My Dropbox\NetDocuments\rtl-chevron_white.png,U:nd.automated-drone_4|VESA,DRONEFOLDER_4,doc_4_3_1330709380,C:\Users\bvandemerwe.NV\Documents\My Dropbox\NetDocuments\rtl-chevron_white.png
C:\Users\bvandemerwe.NV\Documents\My Dropbox\NetDocuments\Automated\Tests\logs\1330508695_Upload to Cabinet.pdf,U:nd.automated-drone_4|VESA,DRONEFOLDER_4,doc_4_4_1330709380,C:\Users\bvandemerwe.NV\Documents\My Dropbox\NetDocuments\Automated\Tests\logs\1330508695_Upload to Cabinet.pdf
C:\Users\bvandemerwe.NV\Documents\My Dropbox\NetDocuments\Automated\Tests\logs\1330086861_Upload to Cabinet.log,U:nd.automated-drone_4|VESA,DRONEFOLDER_4,doc_4_5_1330709380,C:\Users\bvandemerwe.NV\Documents\My Dropbox\NetDocuments\Automated\Tests\logs\1330086861_Upload to Cabinet.log
